STA,Lat,Long
24250,-6.220568809,106.5666529
24255,-6.220559563,106.5666087
24260,-6.220550316,106.5665645
24265,-6.220541034,106.5665202
24270,-6.220531724,106.566476
24275,-6.220522405,106.5664318
24280,-6.220513041,106.5663876
24285,-6.220503677,106.5663434
24290,-6.220494268,106.5662992
24295,-6.220484822,106.566255
24300,-6.220475377,106.5662108
24305,-6.220465769,106.5661667
24310,-6.220456169,106.5661225
24315,-6.220446552,106.5660784
24320,-6.220436926,106.5660342
24325,-6.220427299,106.5659901
24330,-6.220417528,106.565946
24335,-6.220407757,106.5659019
24340,-6.220397913,106.5658578
24345,-6.220387997,106.5658137
24350,-6.220378072,106.5657696
24355,-6.220368056,106.5657256
24360,-6.220358041,106.5656815
24365,-6.220348016,106.5656374
24370,-6.220337964,106.5655934
24375,-6.220327922,106.5655493
24380,-6.22031787,106.5655053
24385,-6.220307809,106.5654612
24390,-6.220297685,106.5654172
24395,-6.220287497,106.5653732
24400,-6.22027731,106.5653292
24405,-6.220267059,106.5652852
24410,-6.220256799,106.5652412
24415,-6.220246403,106.5651972
24420,-6.220235881,106.5651533
24425,-6.220225349,106.5651093
24430,-6.220214745,106.5650654
24435,-6.220204142,106.5650215
24440,-6.220193474,106.5649776
24445,-6.220182762,106.5649337
24450,-6.220172031,106.5648898
24455,-6.220161147,106.5648459
24460,-6.220150263,106.5648021
24465,-6.220139297,106.5647582
24470,-6.22012825,106.5647144
24475,-6.220117202,106.5646706
24480,-6.220106137,106.5646268
24485,-6.22009508,106.564583
24490,-6.220083988,106.5645392
24495,-6.220072886,106.5644954
24500,-6.220061767,106.5644516
24505,-6.220050357,106.5644079
24510,-6.220038948,106.5643642
24515,-6.220027466,106.5643205
24520,-6.22001593,106.5642768
24525,-6.220004394,106.5642331
24530,-6.219992831,106.5641894
24535,-6.219981268,106.5641457
24540,-6.219969677,106.5641021
24545,-6.21995806,106.5640584
24550,-6.219946442,106.5640147
24555,-6.219934725,106.5639711
24560,-6.219923008,106.5639275
24565,-6.219911101,106.5638839
24570,-6.219899058,106.5638403
24575,-6.219887015,106.5637968
24580,-6.219874936,106.5637532
24585,-6.219862848,106.5637097
24590,-6.219850679,106.5636662
24595,-6.219838437,106.5636227
24600,-6.219826186,106.5635792
24605,-6.219813944,106.5635357
24610,-6.219801692,106.5634922
24615,-6.21978945,106.5634487
24620,-6.219777199,106.5634052
24625,-6.219764957,106.5633617
24630,-6.219752697,106.5633183
24635,-6.219740428,106.5632748
24640,-6.219727969,106.5632313
24645,-6.219715338,106.563188
24650,-6.219702715,106.5631446
24655,-6.21969003,106.5631012
24660,-6.219677353,106.5630578
24665,-6.219664568,106.5630145
24670,-6.219651702,106.5629712
24675,-6.219638817,106.5629279
24680,-6.219625679,106.5628846
24685,-6.21961255,106.5628414
24690,-6.219599357,106.5627982
24695,-6.219586111,106.562755
24700,-6.219572864,106.5627118
24705,-6.219559518,106.5626686
24710,-6.219546171,106.5626255
24715,-6.219532771,106.5625823
24720,-6.219519334,106.5625392
24725,-6.219505879,106.562496
24730,-6.219492143,106.562453
24735,-6.219478417,106.5624099
24740,-6.219464727,106.5623669
24745,-6.219451073,106.5623238
24750,-6.2194374,106.5622807
24755,-6.219423638,106.5622377
24760,-6.219409866,106.5621947
24765,-6.21939585,106.5621517
24770,-6.219381635,106.5621088
24775,-6.219367419,106.5620659
24780,-6.219353113,106.5620231
24785,-6.219338798,106.5619802
24790,-6.219324357,106.5619374
24795,-6.219309816,106.5618946
24800,-6.219295275,106.5618518
24805,-6.219280688,106.5618091
24810,-6.219266111,106.5617663
24815,-6.219251388,106.5617236
24820,-6.219236567,106.5616809
24825,-6.219221745,106.5616382
24830,-6.219206878,106.5615955
24835,-6.21919202,106.5615529
24840,-6.219177089,106.5615102
24845,-6.219162113,106.5614676
24850,-6.219147111,106.561425
24855,-6.219131854,106.5613824
24860,-6.219116607,106.5613399
24865,-6.219101323,106.5612974
24870,-6.219086013,106.5612549
24875,-6.219070711,106.5612124
24880,-6.219055418,106.5611698
24885,-6.219040126,106.5611273
24890,-6.219024716,106.5610848
24895,-6.219009215,106.5610424
24900,-6.218993705,106.561
24905,-6.218978095,106.5609576
24910,-6.218962486,106.5609152
24915,-6.21894675,106.5608728
24920,-6.218930923,106.5608305
24925,-6.218915087,106.5607882
24930,-6.218899116,106.5607459
24935,-6.218883144,106.5607036
24940,-6.218867018,106.5606614
24945,-6.218850784,106.5606192
24950,-6.218834559,106.5605771
24955,-6.218818334,106.5605349
24960,-6.2188021,106.5604927
24965,-6.218785739,106.5604506
24970,-6.218769288,106.5604085
24975,-6.218752836,106.5603664
24980,-6.21873633,106.5603244
24985,-6.218719834,106.5602823
24990,-6.218703201,106.5602403
24995,-6.218686487,106.5601983
25000,-6.218669764,106.5601563
25005,-6.218652932,106.5601144
25010,-6.218636101,106.5600725
25015,-6.218619196,106.5600306
25020,-6.218602238,106.5599887
25025,-6.218585279,106.5599468
25030,-6.218568167,106.559905
25035,-6.218551055,106.5598632
25040,-6.218533942,106.5598213
25045,-6.21851683,106.5597795
25050,-6.21849969,106.5597377
25055,-6.21848237,106.559696
25060,-6.218465049,106.5596542
25065,-6.218447556,106.5596126
25070,-6.218429955,106.559571
25075,-6.218412326,106.5595294
25080,-6.218394562,106.5594878
25085,-6.218376789,106.5594463
25090,-6.218358988,106.5594047
25095,-6.218341169,106.5593632
25100,-6.218323342,106.5593217
25105,-6.218305351,106.5592802
25110,-6.21828736,106.5592388
25115,-6.21826927,106.5591974
25120,-6.218251116,106.559156
25125,-6.218232926,106.5591146
25130,-6.218214528,106.5590734
25135,-6.218196121,106.5590321
25140,-6.218177605,106.5589909
25145,-6.218159016,106.5589497
25150,-6.218140419,106.5589085
25155,-6.218121749,106.5588674
25160,-6.218103079,106.5588262
25165,-6.218084301,106.5587851
25170,-6.21806545,106.558744
25175,-6.21804658,106.558703
25180,-6.218027603,106.558662
25185,-6.218008616,106.558621
25190,-6.217989547,106.55858
25195,-6.217970407,106.5585391
25200,-6.217951248,106.5584981
25205,-6.217931908,106.5584573
25210,-6.217912577,106.5584165
25215,-6.217893128,106.5583757
25220,-6.217873616,106.5583349
25225,-6.217854104,106.5582942
25230,-6.217834529,106.5582534
25235,-6.217814953,106.5582127
25240,-6.217795314,106.558172
25245,-6.217775648,106.5581313
25250,-6.217755955,106.5580907
25255,-6.217736108,106.5580501
25260,-6.21771627,106.5580095
25265,-6.217696386,106.5579689
25270,-6.217676494,106.5579283
25275,-6.217656565,106.5578877
25280,-6.217636437,106.5578473
25285,-6.2176163,106.5578068
25290,-6.2175961,106.5577664
25295,-6.217575863,106.557726
25300,-6.21755559,106.5576856
25305,-6.217535046,106.5576454
25310,-6.217514501,106.5576051
25315,-6.217493875,106.5575649
25320,-6.217473204,106.5575247
25325,-6.217452523,106.5574846
25330,-6.217431798,106.5574444
25335,-6.217411072,106.5574043
25340,-6.217390283,106.5573641
25345,-6.217369448,106.557324
25350,-6.217348596,106.5572839
25355,-6.21732768,106.5572439
25360,-6.217306764,106.5572038
25365,-6.217285767,106.5571638
25370,-6.217264724,106.5571238
25375,-6.217243663,106.5570838
25380,-6.217222494,106.5570439
25385,-6.217201333,106.557004
25390,-6.217180037,106.5569641
25395,-6.217158677,106.5569243
25400,-6.217137299,106.5568845
25405,-6.217115831,106.5568447
25410,-6.217094371,106.556805
25415,-6.217072785,106.5567653
25420,-6.217051118,106.5567256
25425,-6.21702945,106.556686
25430,-6.217007664,106.5566464
25435,-6.216985888,106.5566068
25440,-6.216964066,106.5565672
25445,-6.216942226,106.5565276
25450,-6.216920359,106.5564881
25455,-6.216898311,106.5564487
25460,-6.216876254,106.5564092
25465,-6.216854079,106.5563698
25470,-6.216831832,106.5563305
25475,-6.216809557,106.5562912
25480,-6.216787065,106.556252
25485,-6.216764573,106.5562128
25490,-6.21674209,106.5561736
25495,-6.216719607,106.5561344
25500,-6.216697106,106.5560952
25505,-6.216674505,106.5560561
25510,-6.216651895,106.556017
25515,-6.216629204,106.5559779
25520,-6.216606477,106.5559388
25525,-6.216583695,106.5558998
25530,-6.216560659,106.5558609
25535,-6.216537623,106.555822
25540,-6.216514534,106.5557832
25545,-6.216491398,106.5557444
25550,-6.216468227,106.5557056
25555,-6.216444811,106.5556669
25560,-6.216421395,106.5556283
25565,-6.216397915,106.5555897
25570,-6.216374409,106.5555511
25575,-6.216350884,106.5555125
25580,-6.216327296,106.5554739
25585,-6.216303707,106.5554354
25590,-6.216280047,106.5553969
25595,-6.21625635,106.5553584
25600,-6.216232635,106.5553199
25605,-6.216208802,106.5552815
25610,-6.216184969,106.5552432
25615,-6.216161046,106.5552048
25620,-6.216137077,106.5551665
25625,-6.216113108,106.5551282
25630,-6.216089094,106.5550899
25635,-6.216065071,106.5550516
25640,-6.216040903,106.5550134
25645,-6.216016644,106.5549753
25650,-6.215992386,106.5549372
25655,-6.215968082,106.5548991
25660,-6.215943778,106.554861
25665,-6.215919383,106.554823
25670,-6.215894943,106.5547849
25675,-6.215870476,106.5547469
25680,-6.215845855,106.5547091
25685,-6.215821225,106.5546712
25690,-6.215796559,106.5546333
25695,-6.215771856,106.5545955
25700,-6.215747126,106.5545576
25705,-6.215722197,106.5545199
25710,-6.215697268,106.5544822
25715,-6.215672248,106.5544446
25720,-6.215647174,106.554407
25725,-6.215622073,106.5543694
25730,-6.215596817,106.554332
25735,-6.215571553,106.5542945
25740,-6.215546243,106.554257
25745,-6.215520915,106.5542196
25750,-6.215495578,106.5541822
25755,-6.215470241,106.5541448
25760,-6.215444904,106.5541074
25765,-6.215419441,106.55407
25770,-6.215393904,106.5540327
25775,-6.215368341,106.5539955
25780,-6.215342596,106.5539583
25785,-6.215316851,106.5539212
25790,-6.215291061,106.5538841
25795,-6.215265244,106.553847
25800,-6.215239409,106.5538099
25805,-6.215213447,106.5537729
25810,-6.215187485,106.5537359
25815,-6.215161468,106.553699
25820,-6.215135424,106.553662
25825,-6.215109344,106.5536251
25830,-6.215083128,106.5535883
25835,-6.215056912,106.5535515
25840,-6.215030606,106.5535148
25845,-6.215004245,106.5534781
25850,-6.214977893,106.5534413
25855,-6.214951532,106.5534046
25860,-6.214925171,106.5533679
25865,-6.214898547,106.5533314
25870,-6.214871806,106.553295
25875,-6.214845037,106.5532586
25880,-6.214818177,106.5532222
25885,-6.214791309,106.5531859
25890,-6.21476445,106.5531495
25895,-6.21473759,106.5531132
25900,-6.214710713,106.5530769
25905,-6.21468379,106.5530406
25910,-6.214656858,106.5530043
25915,-6.21462989,106.552968
